College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
"PIBM - Admission 2024 (Open), Courses, Fees, Placements, Ranking","Pune,  Maharashtra",AICTE,Estd 2007,Private,7.5,"Hansraj College is a government college in Delhi. It has been ranked 12th in the ‘Overall’ category according to NIRF ranking 2023. Hansraj College is also accredited with an ‘A’ grade by the NAAC and the college is affiliated with Delhi University. Hansraj College offers courses in Liberal Arts and Science and Commerce. Its UG and PG courses include Science, Commerce, and Humanities. Along with that Hansraj College also offers the option for add-on courses such as Anchoring and T.V Journalism, Acting and Filmmaking, etc. "
Hansraj College,"New Delhi,  Delhi NCR",UGC,Estd 1948,Public,8.4,"IMI Bhubaneswar established is 2011, is one of the renowned management institutes in India. IMI Bhubaneswar was ranked 67th in the management category as per the NIRF Ranking 2023. It has also achieved the prestigious AMBA Accreditation, recognized by SAARC and accredited by the National Board of Accreditation (NBA) under the Ministry of HRD, Government of India."
IMI Bhubaneswar,"Bhubaneswar,  Odisha","AICTE, NBA, AIU",Estd 2011,Private Institute,8.6,
"Vignana Jyothi Institute of Management (VJIM), Hyderabad","Hyderabad,  Telangana","AICTE, NBA, MHRD",Estd 1993,Private,8.4,"VTU is a collegiate public university in Karnataka founded in 1998 and is one of India's largest technological universities. VTU has also been approved by AICTE & UGC. Visvesvaraya Technological University has 182 affiliated colleges, 1 constituent college, and 25 autonomous colleges with UG programs in 37 disciplines, PG programs in 96 disciplines, and Ph.D. and M.sc (Engg.) research programs with 7 faculty. It was certified with Grade ""B++"" by the National Assessment and Accreditation Council (NAAC) and is a member of the Association of Indian Universities (AIU). VTU is the first university in the country to take innovative steps in examination reforms by implementing a digital evaluation system."
VTU (Visvesvaraya Technological University),"Belgaum,  Karnataka","AICTE, UGC",Estd 1988,State University,7.4,"NIT Rourkela is an autonomous technical University funded by the Indian Government. The institute is located over a campus area of 648 in Steel City,  Rourkela. NIT Rourkela ranks 37th in the NIRF 2023 Engineering ranking. Further, the institute has also achieved 67th rank in the QS South Asia Ranking 2024. The institute is NBA Accredited and is known for its flagship BTech program. Other popular courses offered by NIT Rourkela are MTech, MSc, MBA, etc. JEE Main score is considered for BTech Admission  and the seat allocation is based on JoSAA Score. The opening JEE Main score is required for admission and the seat allocation is JoSAA-based. The opening cutoff required for admission is 379."
NIT Rourkela (NIT-RKL),"Rourkela,  Odisha","AICTE, MHRD",Estd 1961,Autonomous University,8.3,"Institute of Management and Entrepreneurship Development (IMED) Pune established by Bharati Vidyapeeth in 1978, is a well known Business School in Western part of India. It is one of the 29 constituent units of Bharati Vidyapeeth (Deemed to be University). IMED Pune is accredited with ‘A+’ Grade by NAAC and awarded ‘Category – I’ University status by UGC. IMED Pune offers BBA, BCA, and MBA programs on the basis of BUMAT, BCAT, and BMAT scores followed by GD and PI."
IMED Pune,"Pune,  Maharashtra",AICTE,Estd 1978,Private,7.7,"Fergusson College, Pune was set up for functioning from the year 1895 by the Deccan Education Society. It is affiliated to Savitribai Phule Pune University. This nation-building institution provides a plethora of degree courses at both, UG and PG level. Apart from the degree courses, the college also offers special courses, vocational courses, certificate courses and PhD programs for the students. "
Fergusson College,"Pune,  Maharashtra",,Estd 1885,Private (Autonomous),8.0,"National Institute of Fashion Technology (NIFT), Mumbai was established in the year 1995. It iinstitution of design, management and technology for international fashion brand. The institute is located in Mumbai, which is the gateway to Fashion World in the country. NIFT Mumbai campus started on 19th of April 2006 which was inaugrated by Chief minister of Maharashtra. It was set up under the aegis of  aegis of the Ministry of Textiles, Government of India"
NIFT Mumbai,"Navi Mumbai,  Maharashtra",,Estd 1995,Public Institute,8.3,National Institute of Fashion Technology Bangalore also known as NIFT Bangalore was established in the year 1997. NIFT is the pioneering institute of fashion education in the country and has been in the vanguard of providing professional human resource to the textile and apparel industry. The institution has been ranked among the Top 10 Fashion institutes.
NIFT Bangalore,"Bangalore,  Karnataka",AICTE,Estd 1986,Public Institute,7.6,"Chetana’s Institute of Management and Research (CIMR), Established in 1996, is one among the top MBA Institutes in Mumbai. The institute has been ranked 4th among top B-schools in Mumbai by Times of India 2023. It has also been ranked 125 among the top private B-Schools in India by IIRF Ranking 2024.  "
"Chetana's Institute of Management and Research, Mumbai","Mumbai,  Maharashtra",AICTE,Estd 1996,Private,8.0,
NIPER Mohali,"Mohali,  Punjab",PCI,Estd 1998,Public (Autonomous),8.3,"St. Xavier’s University or SXUK is one of the top private universities in Kolkata established in 2017 and recognized by UGC. The Xavier Business School, SXUK is approved by AICTE and Xavier Law School, SXUK is approved by BCI. The university is spread over an area of 16.64 acres. St. Xavier’s University Kolkata offers 8 UG, 9 PG, and 8 Ph.D. courses across different streams are offered by the university. The most popular courses offered by the institute are MBA and MA. The university grants admission based on merit in an entrance test conducted by the institute. "
"St. Xavier's University, Kolkata","Kolkata,  West Bengal","AICTE, BCI, UGC",Estd 2017,Private University,8.2,"Bharati Vidyapeeth University Institute of Management and Research (BVIMR) is an 8-acre campus situated in West Delhi having an exceptional infrastructure, lush verdant woods and landscaped gardens, that provide an idyllic environment to engage in Management and IT studies. "
"Bharati Vidyapeeth Institute of Management and Research - [BVIMR], New Delhi","New Delhi,  Delhi NCR","AICTE, NBA",Estd 1992,Private,8.3,"Jawaharlal Nehru University (JNU) is a central university located in Delhi. Established in 1969, JNU is known for its postgraduate and research studies. JNU is ranked 2nd among the top 100 universities in the NIRF Ranking 2023. Also, it has been given the status of ‘University of Excellence' by the UGC and accredited with an ‘A’ grade by the NAAC. "
JNU Delhi,"New Delhi,  Delhi NCR",,Estd 1969,Central University,8.4,
ABBS Bangalore,"Bangalore,  Karnataka","AICTE, UGC, NBA",Estd 2008,Private,7.8,
VAMNICOM,"Pune,  Maharashtra",AICTE,Estd 1964,Private,7.8,"GITAM School of Business, a constituent of GITAM (Deemed to be University), Hyderabad, is an institution of quality management education, research, executive training, and consultancy. It offers management degree programs of UG, PG and Doctoral Level."
"GITAM School of Business, Hyderabad","Hyderabad,  Telangana","NBA, AACSB",Estd 2009,Private,8.2,"Ramakrishna Mission Vivekananda Centenary College started functioning in 1963 with a view of remembering the first birth centenary of Swami Vivekananda. The institute is administered and maintained by the Ramkrishna Mission.  It is affiliated with West Bengal State University, Barasat. RKMVCC Kolkata offers undergraduate, postgraduate & research programs in the field of science. Admission to this college is only for male candidates."
RKMVCC Kolkata,"Kolkata,  West Bengal",,Estd 1963,Private,7.9,"Presidency College, Chennai is one of the oldest colleges that has been established by the British Indian Government in 1840. The college has been ranked 3rd by NIRF in 2023. Presidency College, Chennai offers 21 undergraduate and postgraduate courses with 18 specializations under M. Phil. and 19 specializations under the Ph.D. department. Admission to the college is done on the basis of merit and the TANCET Entrance exam for MCA. The average salary package offered at the college is INR 1.8 LPA."
Presidency College Chennai,"Chennai,  Tamil Nadu",AICTE,Estd 1840,Public (Autonomous),8.0,"Established in 2008, Jaipuria School of Business, Ghaziabad is one of the top PGDM institute in Delhi NCR in Northern India and is the flagship Institute of the Jaipuria Group of Management Institutions. The B-School has been awarded ‘Best Institution for Academic Excellence in India’ by Asia and Pacific Education and Technology. Jaipuria School of Business is accredited by NBA. "
JSB Ghaziabad,"Ghaziabad,  Uttar Pradesh","AICTE, NBA",Estd 2008,Private,8.6,"Punjab Agricultural University was established in 1962. It was inaugurated by Pt. Jawahar Lal Nehru, Prime Minister of India in 1963. The university spreads over an area of 494 hectares at Ludhiana with an off-campus area of 1793 hectares. It has four constituent colleges which are, College of Agriculture, College of Agricultural Engineering & Technology, College of Home Science, and College of Basic Science & Humanities, besides PAU Pre-Graduation Institutes of Agriculture at Gurdaspur and Bathinda."
Punjab Agricultural University,"Ludhiana,  Punjab","ICAR, UGC",Estd 1962,State University,8.2,"Institute of Hotel Management, Bangalore, (IHM Bangalore), established in 1969, has been consistently among the top-5 Hotel Management Institutes in India voted by ranking agencies of the country. The institute offers B.Sc and M.Sc programs in various disciplines. Additionally, it also offers Certificate courses in Food Production and Patisserie and Food & Beverage Service."
